Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,1460.00,1474.50,1457.10,1471.35,1466.938890456659308883,258683,16951,379472153.00,186984,72.28,17.40,11.35
9-March-2023,1495.20,1498.60,1475.00,1480.75,1485.618716240547353258,111080,7477,165022527.00,68932,62.06,23.60,-14.45
8-March-2023,1488.00,1494.75,1481.45,1492.50,1488.144260523601355665,162872,17536,242377032.00,105819,64.97,13.30,4.50
6-March-2023,1489.90,1520.00,1489.90,1507.55,1510.649755476052639865,412843,20515,623661177.00,256097,62.03,30.10,17.65
3-March-2023,1489.00,1489.00,1473.60,1479.80,1480.005962059620596205,99630,4883,147452994.00,60841,61.07,15.40,-9.20
2-March-2023,1489.95,1489.95,1467.90,1472.10,1474.463750496125002611,239355,23212,352920271.00,176480,73.73,22.05,-17.85
1-March-2023,1492.00,1501.00,1481.75,1496.65,1494.452394636549803864,179213,9566,267825297.00,146896,81.97,19.25,4.65
28-February-2023,1519.40,1523.80,1481.30,1487.30,1501.768205690145515757,277427,19456,416631048.00,188480,67.94,42.50,-32.10
27-February-2023,1544.95,1544.95,1502.05,1509.40,1511.088673541655870515,289455,21716,437392172.00,204944,70.80,42.90,-35.55
24-February-2023,1555.05,1569.00,1546.70,1551.45,1552.625522795406116629,327566,10112,508587332.00,266860,81.47,22.30,-3.60
23-February-2023,1570.00,1570.00,1548.00,1551.50,1557.188717214247836944,220637,20041,343573447.00,158179,71.69,22.00,-18.50
22-February-2023,1564.00,1575.00,1556.05,1562.55,1567.930246137261947538,155848,9137,244358793.00,127859,82.04,18.95,-1.45
21-February-2023,1599.00,1601.15,1575.90,1579.25,1586.936652307692307692,243750,20092,386815809.00,197867,81.18,25.25,-19.75
20-February-2023,1589.00,1602.45,1582.60,1593.25,1594.509954434451128715,134312,8429,214161821.00,98291,73.18,19.85,4.25
17-February-2023,1585.00,1595.00,1575.30,1583.45,1588.187118142645829313,217686,10562,345726101.00,145363,66.78,19.70,-1.55
16-February-2023,1600.10,1613.95,1598.25,1601.95,1606.667096637503427303,160476,6359,257831509.00,119625,74.54,15.70,1.85
15-February-2023,1584.00,1599.00,1576.35,1596.85,1589.774473952400935195,83405,4052,132595140.00,53895,64.62,22.65,12.85
14-February-2023,1582.05,1595.70,1578.75,1592.65,1590.911764371453803266,263839,4832,419744569.00,220517,83.58,16.95,10.60
13-February-2023,1598.00,1598.00,1565.60,1567.40,1572.922288319924526324,190795,7472,300105708.00,113816,59.65,32.40,-30.60
10-February-2023,1610.05,1616.25,1596.20,1607.95,1608.928344354394709890,337838,12236,543557134.00,207362,61.38,20.05,-2.10
9-February-2023,1590.00,1620.00,1586.50,1617.70,1606.020927792558174392,106748,7387,171439522.00,52504,49.18,33.50,27.70
8-February-2023,1560.05,1602.55,1560.05,1589.70,1593.897660503615212114,194871,8555,310604431.00,118608,60.86,42.50,29.65
7-February-2023,1561.05,1576.00,1558.00,1562.35,1567.182238635971421668,202811,15997,317841797.00,124420,61.35,18.00,1.30
6-February-2023,1598.00,1598.00,1561.90,1570.50,1570.836256161051177894,173063,19960,271853635.00,113276,65.45,36.10,-27.50
3-February-2023,1592.25,1604.40,1573.35,1599.15,1593.520938905531047938,231674,11074,369177370.00,134095,57.88,31.05,6.90
2-February-2023,1553.70,1586.75,1552.25,1583.30,1577.593267461600235837,196746,16889,310385165.00,122893,62.46,34.50,29.60
1-February-2023,1540.00,1555.00,1528.20,1549.45,1540.175490470292084548,250270,15500,385459720.00,190163,75.98,26.80,9.45
31-January-2023,1546.00,1547.60,1513.00,1533.15,1523.147570716260604485,169268,16145,257820143.00,94612,55.89,34.60,-12.85
30-January-2023,1529.00,1543.75,1520.05,1539.10,1534.024341082522062430,169179,12072,259524704.00,111242,65.75,23.70,10.10
27-January-2023,1543.00,1550.80,1507.65,1518.25,1538.070338584520204014,1405587,11743,2161891673.00,1327041,94.41,43.15,-24.75
25-January-2023,1540.00,1555.50,1539.00,1542.90,1546.770500581905938296,140057,9963,216636036.00,79507,56.77,16.50,2.90
24-January-2023,1558.30,1568.80,1549.35,1552.35,1563.588121582170537930,659044,14326,1030473370.00,591800,89.80,19.45,-5.95
