Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,2343.30,2343.30,2315.20,2323.15,2323.879320261127877950,337306,40621,783858438.00,176502,52.33,28.10,-20.15
9-March-2023,2419.90,2419.90,2356.15,2360.15,2375.798507437779313060,299619,32243,711834373.00,190003,63.41,63.75,-59.75
8-March-2023,2401.20,2420.00,2386.45,2417.55,2405.210739411917981199,99782,10958,239996738.00,34437,34.51,33.55,16.35
6-March-2023,2395.00,2424.50,2395.00,2407.80,2415.324643020012200394,168847,12288,407820320.00,105483,62.47,29.50,12.80
3-March-2023,2344.00,2393.00,2340.90,2385.05,2369.159341297401376292,266949,24156,632444717.00,147277,55.17,52.10,41.05
2-March-2023,2331.00,2350.80,2321.70,2327.85,2334.625639087716178366,89972,11652,210050938.00,53628,59.61,29.10,-3.15
1-March-2023,2342.20,2345.50,2323.55,2343.25,2336.848207093248568504,183724,20479,429335100.00,117417,63.91,21.95,1.05
28-February-2023,2375.00,2375.00,2314.75,2321.95,2337.221583093243625826,300235,33265,701715722.00,165915,55.26,60.25,-53.05
27-February-2023,2378.60,2389.00,2352.45,2369.10,2366.731614764764360244,247454,25999,585657205.00,132631,53.60,36.55,-9.50
24-February-2023,2375.00,2395.60,2368.65,2385.80,2380.962134988984578409,249650,21011,594407197.00,163033,65.30,26.95,10.80
23-February-2023,2376.00,2394.95,2361.50,2367.55,2381.336411579723446833,265844,21661,633063997.00,152291,57.29,33.45,-8.45
22-February-2023,2428.00,2430.00,2376.05,2379.00,2395.324043695021774755,288637,27831,691379146.00,168373,58.33,53.95,-49.00
21-February-2023,2421.00,2446.00,2412.45,2434.50,2428.715230011801590234,167774,17513,407475269.00,72052,42.95,33.55,13.50
20-February-2023,2440.40,2449.45,2410.35,2415.30,2429.073843235553146805,221415,18929,537833385.00,171934,77.65,39.10,-25.10
17-February-2023,2424.95,2446.90,2410.60,2439.85,2432.860189170820117806,105936,12547,257727477.00,46591,43.98,36.30,14.90
16-February-2023,2450.00,2463.00,2425.00,2429.65,2439.741076836549277494,277368,17228,676706103.00,169611,61.15,38.00,-20.35
15-February-2023,2387.80,2437.00,2375.00,2430.10,2417.964769854415482521,367072,18591,887567164.00,252104,68.68,62.00,42.30
14-February-2023,2325.20,2381.00,2324.00,2377.40,2361.605393668928717361,124813,13863,294759054.00,45552,36.50,57.00,52.20
13-February-2023,2337.60,2350.00,2314.05,2322.75,2325.627223307780950949,79836,10263,185668775.00,32766,41.04,35.95,-14.85
10-February-2023,2357.00,2357.00,2321.60,2336.35,2332.695785356351811998,127318,13086,296994162.00,59480,46.72,35.40,-20.65
9-February-2023,2357.35,2370.80,2334.05,2355.40,2353.929894656282357178,88852,11108,209151379.00,30586,34.42,36.75,-1.95
8-February-2023,2311.30,2359.60,2307.15,2351.80,2343.289332341454342570,268850,25015,629993337.00,130486,48.53,52.45,40.50
7-February-2023,2312.00,2327.00,2293.10,2305.90,2311.782921801558460021,225094,29368,520368465.00,99276,44.10,33.90,-6.10
6-February-2023,2325.00,2325.00,2306.75,2311.50,2312.474636750168474229,206263,30862,476977956.00,133307,64.63,18.25,-13.50
3-February-2023,2345.00,2347.90,2293.20,2329.05,2317.107490390043278406,148804,14978,344794863.00,60962,40.97,54.70,-15.95
2-February-2023,2325.00,2347.70,2311.35,2326.80,2324.535567905856154193,104181,12844,242172440.00,44697,42.90,36.35,1.80
1-February-2023,2380.00,2380.90,2305.00,2338.05,2352.603544901328117782,573669,34753,1349615723.00,377526,65.81,75.90,-41.95
31-January-2023,2385.00,2386.10,2341.70,2353.90,2355.050620164313631650,100296,10412,236202157.00,46238,46.10,44.40,-31.10
30-January-2023,2337.75,2369.40,2301.15,2351.30,2348.831485410797633088,1392194,29192,3270029101.00,1219020,87.56,68.25,13.55
27-January-2023,2381.95,2388.05,2312.10,2337.75,2334.590938216720947806,452582,59632,1056593836.00,246365,54.44,75.95,-44.20
25-January-2023,2410.00,2414.80,2381.00,2382.95,2393.973381834978924880,103914,14987,248767350.00,58915,56.70,33.80,-27.05
24-January-2023,2432.50,2443.90,2388.65,2415.15,2417.967221889857993009,349349,15122,844714431.00,250814,71.79,55.25,-17.35
23-January-2023,2450.00,2466.00,2426.00,2429.60,2441.525381090432993547,213860,19969,522144618.00,70364,32.90,40.00,-20.40
20-January-2023,2481.70,2481.70,2438.10,2442.70,2454.859676344160172861,174012,11317,427175042.00,109256,62.79,43.60,-39.00
19-January-2023,2474.20,2480.95,2457.50,2471.10,2474.386662896039849571,201558,11803,498732427.00,142838,70.87,23.45,-3.10
18-January-2023,2479.00,2491.50,2460.45,2474.60,2479.727198889712492311,126814,7526,314464125.00,77842,61.38,31.05,-4.40
17-January-2023,2453.15,2483.50,2452.00,2478.55,2466.115200299513290902,186970,13442,461089559.00,78640,42.06,31.50,25.40
16-January-2023,2474.90,2479.75,2436.05,2444.70,2454.488807622530462980,140006,10360,343643160.00,91129,65.09,43.70,-30.20
13-January-2023,2468.60,2473.20,2434.80,2467.35,2453.151561157031431991,248982,25804,610790582.00,120974,48.59,38.40,-1.25
12-January-2023,2525.00,2531.90,2465.65,2472.10,2486.411884991610149830,185343,16171,460839038.00,115683,62.42,66.25,-52.90
11-January-2023,2555.20,2558.20,2522.00,2525.50,2534.780640870143589342,127795,11916,323932292.00,85024,66.53,36.20,-29.70
10-January-2023,2604.05,2605.00,2546.05,2557.95,2571.373593113297781737,152642,12735,392499608.00,93407,61.19,58.95,-46.10
9-January-2023,2543.70,2601.80,2539.10,2596.55,2582.897136271658871929,298492,22874,770974132.00,190749,63.90,62.70,52.85
6-January-2023,2529.00,2547.50,2518.65,2537.25,2535.070144549888198320,113594,11000,287968758.00,57740,50.83,28.85,8.25
